customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00035,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,82.15,3272.56,No
CUST-00036,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.69,525.57,No
CUST-00037,Female,0,No,No,36,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),66.79,2391.19,No
CUST-00038,Female,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,81.55,166.47,No
CUST-00039,Male,0,No,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.82,18.9,No
CUST-00040,Female,0,No,No,61,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),97.77,5964.86,No
CUST-00041,Male,1,No,No,6,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,61.03,415.97,Yes
CUST-00042,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.07,86.27,Yes
CUST-00043,Female,1,Yes,No,17,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,92.88,1576.79,Yes
CUST-00044,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.8,886.17,No
CUST-00045,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),79.59,3206.92,Yes
CUST-00046,Female,0,No,Yes,51,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,63.02,3162.08,No
CUST-00047,Male,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.88,30.7,No
CUST-00048,Female,1,Yes,No,16,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),66.05,1040.67,No
CUST-00049,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,86.29,238.44,Yes
CUST-00050,Female,1,No,Yes,57,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),66.95,3817.92,No
CUST-00051,Female,1,No,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.83,3440.27,No
CUST-00052,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),79.32,659.76,No
CUST-00053,Male,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,90.05,4928.49,No
CUST-00054,Male,0,Yes,No,19,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),66.05,1190.21,No
CUST-00055,Male,0,No,Yes,50,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,58.13,2915.31,No
CUST-00056,Male,0,No,Yes,64,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,77.09,4922.37,No
CUST-00057,Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,87.56,2826.91,No
CUST-00058,Male,1,Yes,No,7,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),99.5,667.62,No
CUST-00059,Female,0,No,Yes,45,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),97.08,4373.46,No
CUST-00060,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.72,52.05,No
CUST-00061,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.46,273.15,Yes
CUST-00062,Female,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.94,792.78,No
CUST-00063,Male,1,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),69.06,0.0,Yes
CUST-00064,Female,0,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),32.47,1639.7,No
CUST-00065,Male,1,No,No,26,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,71.56,1928.99,Yes
CUST-00066,Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,64.81,3409.5,No
CUST-00067,Female,1,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,30.8,1377.79,No
CUST-00068,Male,0,No,No,44,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,66.62,2896.73,No
CUST-00069,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,88.41,235.35,Yes
CUST-00070,Male,0,No,No,21,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),69.13,1457.03,No
CUST-00071,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),78.51,1643.64,No
CUST-00072,Male,0,No,Yes,0,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),56.49,0.0,No
CUST-00073,Male,0,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.16,1368.06,No
CUST-00074,Male,0,Yes,No,33,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),67.8,2333.57,No
CUST-00075,Female,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,60.7,137.75,No
CUST-00076,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),72.88,1249.89,Yes
CUST-00077,Male,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),91.82,3648.28,No
CUST-00078,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,87.91,0.0,Yes
CUST-00079,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.48,1361.18,Yes
CUST-00080,Female,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),87.99,3645.42,No
CUST-00081,Female,0,No,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.37,415.55,No
CUST-00082,Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,91.59,832.42,No
CUST-00083,Male,0,No,No,28,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,87.23,2441.36,No
CUST-00084,Female,0,Yes,No,45,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),59.57,2698.87,No
CUST-00085,Female,1,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,101.12,428.86,Yes
CUST-00086,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.46,2148.12,No
CUST-00087,Male,0,No,No,32,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.15,1949.59,No
CUST-00088,Male,0,No,Yes,6,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),58.66,292.71,No
CUST-00089,Female,0,Yes,No,9,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,57.8,504.65,No
CUST-00090,Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.61,249.17,No
CUST-00091,Male,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),87.82,2093.51,Yes
CUST-00092,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,92.75,233.77,Yes
CUST-00093,Female,0,No,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.8,895.59,No
CUST-00094,Male,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),81.91,4157.96,No
CUST-00095,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.28,1213.37,No
CUST-00096,Male,1,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),93.31,4983.03,Yes
CUST-00097,Male,1,Yes,Yes,42,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),49.7,2124.82,No
CUST-00098,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,99.94,668.55,Yes
CUST-00099,Female,1,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.79,162.95,No
CUST-00100,Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.14,1468.5,Yes
CUST-00101,Female,0,No,No,11,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.95,818.0,No
CUST-00102,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),91.95,202.62,No
CUST-00103,Female,0,No,Yes,27,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),51.73,1382.18,No
CUST-00104,Male,0,No,Yes,2,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.87,212.37,No
CUST-00105,Female,1,Yes,Yes,14,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),74.13,1037.36,No
CUST-00106,Female,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.1,1634.08,No
CUST-00107,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),93.69,1749.33,Yes
CUST-00108,Female,0,No,Yes,5,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),64.03,350.13,No
CUST-00109,Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.32,179.31,No
CUST-00110,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),88.91,1439.36,No
CUST-00111,Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,83.98,1314.98,No
CUST-00112,Female,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),81.24,2986.68,No
CUST-00113,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.28,1298.14,No
CUST-00114,Male,1,Yes,No,0,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),97.75,0.0,Yes
CUST-00115,Female,0,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,92.32,3452.01,No
CUST-00116,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.99,0.0,Yes
CUST-00117,Male,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),89.2,1031.73,No
CUST-00118,Male,0,No,Yes,40,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,61.8,2433.53,No
CUST-00119,Male,0,No,No,36,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.26,1866.96,No
CUST-00120,Male,1,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.3,25.07,No
CUST-00121,Male,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.65,173.03,No
CUST-00122,Female,0,Yes,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.06,93.76,Yes
CUST-00123,Female,0,No,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.86,155.98,No
CUST-00124,Male,0,No,No,40,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,74.29,2973.62,Yes
CUST-00125,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),35.72,187.53,Yes
CUST-00126,Female,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.06,268.09,Yes
CUST-00127,Male,1,Yes,No,8,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,58.04,425.6,No
CUST-00128,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,88.97,163.23,No
CUST-00129,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),31.56,512.59,No
CUST-00130,Female,0,No,No,19,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,96.86,1911.33,Yes
CUST-00131,Female,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,893.45,No
CUST-00132,Female,1,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,85.86,3530.69,No
CUST-00133,Male,0,No,Yes,3,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),70.67,203.26,No
CUST-00134,Female,0,No,No,67,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,70.27,4737.26,No
CUST-00135,Female,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,72.73,521.82,No
CUST-00136,Male,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,79.32,393.49,No
CUST-00137,Female,0,No,Yes,72,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,49.65,3577.05,No
CUST-00138,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.52,1971.43,No
CUST-00139,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,38.57,2002.66,No
CUST-00140,Male,0,Yes,No,21,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),59.22,1216.15,No
CUST-00141,Female,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),86.97,4767.01,No
CUST-00142,Male,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.93,1146.29,No
CUST-00143,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.86,198.63,Yes
CUST-00144,Male,0,No,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.55,0.0,No
CUST-00145,Female,0,No,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.54,1246.59,Yes
CUST-00146,Female,0,Yes,Yes,64,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,56.29,3552.06,No
CUST-00147,Male,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),93.16,1348.4,Yes
CUST-00148,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),35.75,1084.3,No
CUST-00149,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),87.87,969.41,Yes
CUST-00150,Male,1,Yes,No,61,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,59.95,3642.65,No
CUST-00151,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,81.07,2143.81,No
CUST-00152,Male,0,Yes,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.18,2651.61,No
CUST-00153,Female,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.41,292.69,No
CUST-00154,Male,0,Yes,No,0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,56.02,0.0,No
CUST-00155,Male,0,Yes,Yes,46,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),50.82,2267.88,No
CUST-00156,Female,0,Yes,No,20,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),83.11,1708.44,No
CUST-00157,Male,0,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.51,1264.05,No
CUST-00158,Female,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.51,295.13,No
CUST-00159,Female,1,Yes,Yes,0,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.06,0.0,Yes
CUST-00160,Female,0,Yes,Yes,19,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),78.56,1449.67,Yes
CUST-00161,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.73,184.46,Yes
CUST-00162,Female,1,No,Yes,44,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,61.4,2693.09,No
CUST-00163,Male,1,No,Yes,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.4,673.74,No
CUST-00164,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.18,410.91,Yes
CUST-00165,Male,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,33.3,744.68,No
CUST-00166,Female,0,No,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.17,290.94,Yes
CUST-00167,Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.26,500.14,No
CUST-00168,Male,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,55.31,1002.68,No
CUST-00169,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,90.02,2111.26,Yes
CUST-00170,Male,0,Yes,No,20,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,100.61,1941.56,Yes
CUST-00171,Male,0,Yes,No,23,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,56.14,1285.95,No
CUST-00172,Male,0,No,No,45,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),74.1,3390.63,No
CUST-00173,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),96.07,4332.12,No
CUST-00174,Female,0,No,Yes,55,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,94.0,5160.25,No
CUST-00175,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.98,11.37,No
CUST-00176,Male,1,No,No,11,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,62.63,644.7,Yes
